Sample_ID,Sample_orf_control,Roslin_ID,sample date,Blood,NBF,RNAlater,finclip,First_gill_score,Second_gill_score,mean_gill_score,Weight,Length,Family,Ct
G523,TRUE_SAMPLE,523,06-Oct-15,1,1,1,B402_00523,1.5,0.5,1,565,372,#N/A,#N/A
G525,TRUE_SAMPLE,525,06-Oct-15,1,1,1,B402_00525,3.5,3.5,3.5,487,356,B302_3170,23.67
G526,TRUE_SAMPLE,526,06-Oct-15,1,1,1,B402_00526,3.5,4,3.75,806,424,J258_1006,28.2
G527,TRUE_SAMPLE,527,06-Oct-15,1,1,1,B402_00527,4,4,4,353,321,B302_0717,33.82
G528,TRUE_SAMPLE,528,06-Oct-15,1,1,1,B402_00528,4,4,4,503,366,B302_0903,31.47
G529,TRUE_SAMPLE,529,06-Oct-15,1,1,1,B402_00529,3,3,3,498,355,B302_2466,28.9
G533,TRUE_SAMPLE,533,06-Oct-15,1,1,1,B402_00533,4,4,4,268,311,B302_2269,26.23
G536,TRUE_SAMPLE,536,06-Oct-15,1,1,1,B402_00536,4,4,4,311,308,NA,36.88
G540,TRUE_SAMPLE,540,06-Oct-15,1,1,1,B402_00540,4,4,4,287,326,#N/A,#N/A
G541,TRUE_SAMPLE,541,06-Oct-15,1,1,1,B402_00541,4,4,4,463,368,B302_2475,31.94
G543,TRUE_SAMPLE,543,06-Oct-15,1,1,1,B402_00543,4,4,4,497,366,B302_3618,36.28
G546,TRUE_SAMPLE,546,06-Oct-15,1,1,1,B402_00546,4,4,4,480,358,B302_3459,29.97
G549,TRUE_SAMPLE,549,06-Oct-15,1,1,1,B402_00549,3,3,3,655,391,#N/A,#N/A
G550,TRUE_SAMPLE,550,06-Oct-15,1,1,1,B402_00550,2.5,3,2.75,418,342,J258_0603,33.11
G554,TRUE_SAMPLE,554,06-Oct-15,1,1,1,B402_00554,4,4,4,332,321,B302_2978,28.02
G556,TRUE_SAMPLE,556,06-Oct-15,0,1,1,B402_00556,4,4,4,496,367,B302_1582,34.8
G560,TRUE_SAMPLE,560,06-Oct-15,0,1,1,B402_00560,3,3,3,600,378,#N/A,#N/A
G562,TRUE_SAMPLE,562,06-Oct-15,0,1,1,B402_00562,4,4,4,370,330,NA,37.82
G566,TRUE_SAMPLE,566,06-Oct-15,1,1,1,B402_00566,3,3,3,666,392,B302_2765,39.5
G567,TRUE_SAMPLE,567,06-Oct-15,1,1,1,B402_00567,4,4.5,4.25,335,318,B302_2880,28.69
G568,TRUE_SAMPLE,568,06-Oct-15,1,1,1,B402_00568,3,3,3,577,372,B302_2765,32.67
G570,TRUE_SAMPLE,570,06-Oct-15,1,1,1,B402_00570,4,4.5,4.25,490,361,#N/A,#N/A
G572,TRUE_SAMPLE,572,06-Oct-15,1,1,1,B402_00572,4,4.5,4.25,351,330,#N/A,#N/A
G574,TRUE_SAMPLE,574,06-Oct-15,1,1,1,B402_00574,4,4,4,346,333,#N/A,#N/A
G576,TRUE_SAMPLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GBlank1,CONTROL_SAMPLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GBlank2,CONTROL_SAMPLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GPCR1blank,CONTROL_SAMPLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GPCR2blank,CONTROL_SAMPLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gpositivecontrol,CONTROL_SAMPLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
