	G447_S25_L001	G448_S61_L001	G450_S19_L001	G451_S37_L001	G452_S26_L001	G454_S71_L001	G455_S18_L001	G456_S66_L001	G457_S56_L001	G458_S58_L001	G459_S41_L001	G460_S36_L001	G462_S48_L001	G463_S4_L001	G465_S2_L001	G466_S65_L001	G470_S20_L001	G471_S55_L001	G473_S35_L001	G474_S22_L001	G475_S70_L001	G476_S78_L001	G477_S12_L001	G478_S17_L001	G479_S9_L001	G480_S44_L001	G481_S6_L001	G482_S59_L001	G484_S23_L001	G485_S34_L001	G486_S13_L001	G487_S7_L001	G488_S69_L001	G489_S31_L001	G490_S49_L001	G491_S3_L001	G492_S76_L001	G497_S77_L001	G499_S53_L001	G500_S62_L001	G503_S39_L001	G504_S11_L001	G507_S54_L001	G508_S29_L001	G510_S42_L001	G512_S47_L001	G514_S73_L001	G515_S74_L001	G516_S68_L001	G518_S38_L001	G519_S63_L001	G521_S21_L001	G522_S45_L001	G523_S64_L001	G525_S46_L001	G526_S60_L001	G527_S72_L001	G528_S40_L001	G529_S27_L001	G533_S52_L001	G536_S16_L001	G540_S14_L001	G541_S8_L001	G543_S51_L001	G546_S15_L001	G549_S67_L001	G550_S43_L001	G554_S30_L001	G556_S33_L001	G560_S28_L001	G562_S5_L001	G566_S32_L001	G567_S57_L001	G568_S24_L001	G570_S50_L001	G572_S1_L001	G574_S10_L001	G576_S75_L001	GBlank1_S79_L001	GBlank2_S80_L001	GPCR1blank_S81_L001	GPCR2blank_S83_L001	Gpositivecontrol_S82_L001
ASV_11	1775	1454	69	188	15923	0	1864	1133	980	1957	6432	613	445	7756	10370	918	1827	2918	3903	95	3282	2165	1190	1680	0	1259	1351	0	1814	2824	1507	137	220	713	1668	3195	693	229	1080	22	0	376	1358	28	0	91	1220	63	0	0	790	1013	258	0	2195	0	0	0	125	0	693	0	909	0	1131	572	330	1199	3006	89	0	528	1042	2653	0	296	328	500	0	0	0	0	0
ASV_12	1744	948	0	0	0	0	2035	1589	1222	1425	2624	257	442	6610	2311	13526	2412	1963	0	0	4161	8465	2133	1745	0	0	6348	0	1756	0	650	0	235	0	0	1121	418	65	403	129	0	303	1127	56	0	179	673	0	0	0	3622	91	209	50	2114	66	0	0	0	320	419	0	351	0	1488	268	0	0	0	238	1220	364	576	1645	2008	387	1485	0	0	0	0	0	0
ASV_13	1178	1035	47	103	10531	0	1248	710	746	1130	3891	440	304	4712	7012	509	1293	1979	2641	58	1993	1426	746	1024	0	753	851	0	1242	2011	908	105	150	456	1151	2002	455	150	796	0	0	213	879	0	0	54	618	0	0	0	536	602	118	9	1467	0	0	0	83	0	393	0	499	0	569	404	204	798	2068	51	0	261	716	1435	0	157	180	378	0	0	0	0	0
ASV_14	1037	565	0	0	0	0	1304	930	699	862	1470	171	295	4025	1542	7835	1572	1326	0	0	2537	5349	1270	1116	0	0	3715	0	1175	0	423	0	172	0	0	738	273	48	283	110	0	174	769	0	0	131	396	0	0	0	2198	0	171	0	1482	46	0	0	0	216	245	0	230	0	823	162	0	0	0	176	841	198	435	907	1373	228	750	0	0	0	0	0	0
ASV_15	805	0	0	0	0	108	787	47	188	21	0	0	101	1102	1187	394	0	13	1075	272	2210	43	0	0	0	0	333	0	341	0	184	615	0	191	0	610	0	0	545	0	0	0	2669	0	0	0	389	0	0	0	3033	482	0	0	171	91	0	206	0	301	116	0	318	0	846	0	0	488	10632	0	2029	33	461	3785	672	133	71	128	0	0	0	0	0
ASV_16	783	124	0	168	417	0	1461	302	244	0	176	1636	406	144	744	0	70	134	754	980	197	139	423	943	0	202	147	157	1795	80	406	1266	0	137	1249	663	263	153	474	78	552	360	188	0	0	205	538	424	0	0	187	1761	71	0	944	319	474	755	247	436	168	841	815	0	395	261	0	488	500	444	680	0	394	759	1431	364	205	827	0	0	0	0	0
ASV_17	226	374	0	4658	0	0	216	259	0	4153	1761	0	0	332	0	0	0	179	0	0	31	134	34	1323	0	472	60	0	0	0	178	0	2873	3002	0	301	311	616	0	0	1182	261	929	0	0	707	728	0	0	0	85	0	0	0	0	0	0	0	171	0	2945	0	377	79	204	607	44	0	98	115	881	54	392	163	0	169	412	375	0	0	0	0	0
ASV_18	0	0	0	5988	0	0	0	0	0	140	89	0	41	175	0	50	0	295	0	0	0	35	65	257	0	0	33	0	1011	0	461	705	431	3850	2342	128	569	1800	0	0	2659	189	295	0	0	2637	640	90	0	4	37	136	137	0	0	0	0	0	1269	0	551	0	326	0	281	335	0	0	649	189	1135	41	143	449	489	153	158	875	0	0	0	0	0
ASV_19	1938	113	0	0	467	202	301	813	1710	79	0	0	300	417	82	342	123	109	246	0	1475	111	191	3108	0	0	283	0	1717	0	0	0	0	292	0	1819	0	0	434	0	0	0	0	0	0	0	111	359	0	0	315	156	0	0	2213	0	0	1479	0	1392	41	0	245	0	293	0	0	786	0	0	0	180	1407	988	0	460	132	348	0	0	0	0	0
ASV_20	36	0	0	41	0	0	89	201	0	2915	3482	0	71	286	0	0	0	55	0	239	0	392	0	186	0	0	0	0	334	0	556	339	1396	4360	742	165	617	315	0	0	497	305	0	58	0	1134	1554	0	0	0	138	93	174	0	0	0	0	0	75	0	3398	0	186	0	395	0	0	719	0	0	400	0	0	88	487	91	131	393	0	0	0	0	0
ASV_21	0	35	2373	380	1485	0	54	35	0	0	282	121	0	38	1896	0	1431	76	218	0	0	39	85	63	0	408	0	1534	245	824	57	697	0	106	2027	0	62	0	246	209	68	0	277	0	31	117	0	31	2165	0	5	131	633	16	9	217	1482	180	103	69	0	1046	0	685	141	47	1033	0	846	174	227	0	182	175	414	17	0	42	832	0	0	0	0
ASV_22	450	0	0	0	0	49	528	28	119	26	0	0	0	638	815	254	0	0	712	174	1378	0	0	37	0	0	186	0	223	0	116	410	0	130	0	363	0	0	399	0	0	0	1879	0	0	10	211	0	0	0	2111	261	0	10	105	48	0	141	0	210	83	0	139	0	419	0	0	303	7302	0	1306	0	249	2089	418	69	51	64	0	0	0	0	0
ASV_23	0	0	0	15	0	0	0	0	57	89	0	88	0	0	0	0	215	0	0	0	131	1	27	127	0	0	66	41	4	0	354	248	1232	3793	819	440	433	1749	0	0	0	436	129	90	0	2881	387	322	0	0	0	258	0	0	181	0	0	0	302	306	388	0	189	0	307	528	1275	0	2278	0	0	359	3	2142	1	123	243	968	0	0	0	0	0
ASV_24	0	0	0	4165	0	0	0	0	0	92	35	0	32	90	0	35	0	234	0	0	0	0	29	148	0	0	22	0	732	0	275	476	255	2527	1719	71	318	1111	0	0	1817	72	202	0	0	1711	399	66	0	0	47	74	95	0	0	0	0	0	861	0	345	0	223	0	132	191	0	0	437	91	780	32	104	320	312	80	72	528	0	0	0	0	0
ASV_25	1450	38	0	0	0	0	0	100	874	0	0	3927	0	128	0	1940	2218	144	102	0	248	62	329	2766	0	0	82	0	1065	1027	0	0	0	0	0	0	91	0	94	0	0	89	0	0	0	303	415	0	0	0	0	0	0	0	118	0	0	0	1149	79	493	0	59	0	147	0	0	707	0	0	120	331	0	166	0	77	87	269	0	0	0	0	0
ASV_26	430	106	0	106	277	0	1008	167	176	0	0	1142	263	99	494	0	0	73	507	666	123	0	228	564	0	116	94	94	1202	0	246	856	0	116	830	370	136	89	318	0	408	167	115	0	0	130	246	241	0	0	109	1008	0	0	607	196	360	486	198	306	109	551	405	48	214	164	0	351	309	235	499	0	261	374	911	162	106	531	0	0	0	0	0
ASV_27	165	263	0	3274	0	0	144	208	0	2431	976	0	0	204	0	0	0	113	0	0	0	79	26	892	0	301	0	0	0	0	114	0	1777	2056	0	216	183	329	0	0	750	162	630	17	0	513	494	0	0	0	61	0	0	0	0	0	0	0	101	0	1716	0	246	0	118	377	0	0	43	67	594	0	241	88	0	91	205	262	0	0	0	0	0
ASV_28	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	51	62	1745	0	0	85	127	0	0	0	0	253	0	123	0	642	89	0	229	179	774	0	0	0	122	1886	66	0	724	591	0	0	0	51	3086	306	5	0	0	0	396	0	0	187	0	668	0	445	0	0	33	85	1136	0	398	102	382	1087	1009	1524	196	0	0	0	0	0
ASV_29	62	0	0	0	0	0	0	117	103	0	94	1079	139	43	0	0	6651	0	1005	52	130	31	386	1441	0	943	119	0	142	0	182	0	30	0	1766	118	41	0	0	0	0	54	0	0	0	0	0	1176	0	0	0	0	0	0	260	0	0	1351	0	0	0	0	28	0	0	124	0	715	0	0	0	90	0	110	0	60	0	0	0	0	0	0	0
ASV_30	0	0	1583	289	1001	0	0	0	0	0	157	52	0	0	1212	17	962	0	155	0	0	0	49	31	0	305	16	1134	173	565	0	518	0	68	1403	0	42	0	209	134	0	0	208	0	0	76	0	26	1526	0	0	62	406	0	0	142	924	134	62	47	0	714	0	517	71	0	701	25	572	113	159	0	91	94	303	0	0	18	498	0	0	0	0
ASV_31	52	0	0	0	0	21	0	96	876	112	466	21	0	508	0	536	0	0	724	0	1195	708	334	821	0	0	199	0	0	0	48	167	193	0	0	292	881	751	0	0	57	125	108	0	0	118	120	671	0	0	95	350	0	0	669	0	0	0	0	0	162	0	251	0	437	0	0	0	1281	196	446	75	114	732	680	182	146	1174	0	0	0	0	0
ASV_32	1115	74	0	0	336	118	198	427	1077	0	0	0	200	216	58	222	89	58	158	0	866	82	112	1990	0	0	145	0	1112	0	0	0	0	191	0	1091	0	0	283	0	0	0	0	0	0	0	66	232	0	0	189	0	0	0	1451	0	0	1069	0	897	45	0	231	0	146	0	0	545	0	0	0	73	880	546	0	225	60	213	0	0	0	0	0
ASV_33	0	0	0	31	0	0	61	133	0	1722	2046	0	44	226	0	0	0	0	0	154	0	251	21	124	0	0	0	0	191	0	321	233	931	2987	572	92	417	172	0	0	341	200	0	0	0	741	834	0	0	0	70	0	119	0	0	0	0	0	66	0	1919	0	98	0	272	0	0	456	0	0	237	0	0	51	343	72	96	303	0	0	0	0	0
ASV_34	23	0	0	1754	0	0	0	0	81	0	0	212	0	28	664	0	0	92	8	70	0	33	0	472	0	0	0	581	13	0	0	0	48	619	828	0	0	0	0	6	0	0	433	47	0	0	56	0	1324	0	0	180	185	0	0	0	1231	1456	83	156	0	613	22	492	0	0	2704	32	46	0	301	44	0	0	128	31	0	0	0	0	1399	0	0
ASV_35	0	0	0	6	0	0	0	0	0	31	0	0	0	0	0	0	123	0	0	0	62	0	11	78	0	0	55	29	2	0	231	127	796	2525	488	281	258	1065	0	0	0	235	106	61	0	1898	192	238	0	0	0	158	0	0	115	0	0	0	215	262	212	0	96	0	214	361	867	15	1468	0	0	225	0	1295	2	77	129	599	0	0	0	0	0
ASV_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_37	0	0	0	0	0	14951	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	0	0	5415	0	0	0	80	23	0	0	0	2506	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	52	0	0	209	1286	977	1289	419	100	0	10	0	0	90	0	0	473	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	653	0	485	0	0	0	0	0	0	0	0	0	0	0
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	258	0	73	0	0	0	0	215	0	1748	0	0	0	0	0	0	0	172	0	0	0	0	581	0	0	0	676	0	190	0	426	9468	0	63	0	0	0	0	0	0
ASV_40	949	0	0	0	0	0	0	0	635	0	0	2695	0	75	0	1125	1511	84	70	0	146	0	212	1693	0	0	40	0	682	689	0	0	0	0	0	0	0	0	67	0	0	55	0	0	0	215	238	0	0	0	0	0	0	0	95	0	0	0	725	0	301	0	0	0	80	0	0	511	0	0	94	168	0	75	0	50	0	178	0	0	0	0	0
ASV_41	0	0	0	0	0	13170	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	13212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	0	0	0	0	0	0	0	80	55	0	49	665	54	0	0	0	4345	0	775	27	47	0	235	897	0	646	0	0	102	0	83	0	0	0	1076	82	0	0	0	0	0	38	0	0	0	0	0	863	0	0	0	0	0	0	156	0	0	926	0	0	0	0	0	0	0	62	0	502	0	0	0	48	0	67	0	0	0	0	0	0	0	0	0
ASV_44	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	50	40	1257	0	0	0	59	0	0	0	0	163	0	76	0	365	70	0	133	87	550	26	0	0	89	1208	49	0	493	342	0	0	0	0	1982	229	0	0	0	0	278	0	0	95	0	383	0	189	0	0	35	63	708	0	222	84	245	730	489	753	147	0	0	0	0	0
ASV_45	0	0	0	0	0	77	0	0	0	0	0	1698	0	116	0	23	0	0	0	0	115	28	58	0	0	0	0	0	957	0	103	0	0	0	105	69	0	0	163	0	407	123	0	103	1419	0	27	311	0	0	0	0	0	0	0	0	0	566	0	0	46	335	103	1726	36	0	0	80	1894	0	594	0	0	0	0	44	26	143	0	0	0	0	0
ASV_46	0	10	0	1190	0	0	0	0	41	0	0	144	0	0	489	0	0	55	0	53	0	0	0	267	0	0	0	413	0	6	0	0	0	417	580	0	0	0	0	0	0	0	251	30	0	0	35	0	895	0	0	112	126	0	0	14	822	1034	0	96	0	395	0	320	0	0	1973	0	0	0	208	0	0	0	76	0	0	0	0	0	1025	0	0
ASV_47	0	0	0	0	0	10715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_48	49	0	0	0	0	0	0	58	596	70	240	0	0	283	0	310	0	0	435	0	698	451	178	507	0	0	95	0	0	0	33	143	108	0	0	160	501	438	0	9	36	61	72	70	0	77	77	448	0	0	0	160	0	0	411	0	0	0	0	0	99	0	143	0	274	0	0	0	857	134	311	0	85	426	432	113	74	770	0	0	0	0	0
ASV_49	0	0	0	0	0	0	0	0	0	934	959	0	0	48	0	0	122	0	0	0	0	49	0	60	0	0	0	0	962	0	0	0	0	638	1889	136	611	690	40	0	0	0	0	0	0	122	257	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	55	0	137	0	2086	0	0	0	0	194	0	54	48	0	0	0	0	0	0
ASV_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_51	253	0	0	0	2008	0	478	0	0	0	0	0	111	109	0	0	72	0	0	0	425	238	202	391	0	0	176	0	0	0	0	2295	0	0	0	268	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	845	51	0	86	0	266	0	0	0	342	0	0	0	0	821	0	154	0	0	0	0	0	0	0
ASV_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	0	0	0	0	9462	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	509	0	0	0	215	0	264	0	607	0	0	0	157	0	0	101	0	0	0	0	460	0	0	2219	0	0	230	0	563	0	0	134	0	211	0	510	64	0	146	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	788	0	0	0	0	496	0	0	115	0	0	0	0	0	1074	0	0	0	0	293	0	115	0	0	0	0	0	0	0
ASV_55	0	0	3605	0	0	0	0	0	0	0	0	1605	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	128	794	672	835	280	49	0	6	0	0	0	0	0	317	0	46	0	0	0	0	0	0	23	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	356	0	263	0	0	0	0	0	0	0	0	0	0	0
ASV_56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	136	0	42	0	0	0	0	153	0	1158	0	0	0	0	0	0	0	119	0	0	0	0	350	0	0	0	385	0	80	0	243	6156	0	55	0	0	0	0	0	0
ASV_57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	80	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	7488	0	158	0	89	258	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0
ASV_59	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	161	0	0	0	0	854	0	0	0	493	1262	1390	121	0	192	0	0	0	102	0	0	0	558	159	794	0	0	0	0	0	0	0	0	0	0	0	0	170	0	56	0	47	0	379	0	0	0	0	99	272	505	0	36	0	453	0	0	0	0	0
ASV_60	0	218	0	0	0	0	1382	333	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	319	708	0	0	0	0	0	0	0	0	0	0	0	0	149	380	0	0	1426	0	652	0	0	0	0	0	0	0	0	0	2091	0	0	0	0	0	0	0	0	0	97	82	0	0	108	0	0	0	0	0	0
