Sample_ID,Sample_orf_control,Roslin_ID,sample.date,Blood,NBF,RNAlater,finclip,First_gill_score,Second_gill_score,mean_gill_score,Weight,Length,Family,Ct,mngill,ct_group,gill_group2,gill_group,Axis.1,Axis.2,richness,shannon,simpson,ASV_1,ASV_4,ASV_17,ASV_11,ASV_8,ASV_18,ASV_15,ASV_1_INT,ASV_4_INT,ASV_17_INT,ASV_11_INT,ASV_8_INT,ASV_18_INT,ASV_15_INT
G459,TRUE_SAMPLE,459,06-Oct-15,1,1,1,B402_00459,2,2.5,2.25,504,359,NA,33.31,2.25,30<Ct<35,LIGHT-MODERATE,02-Mar,-0.148781229,-0.038013248,24,6.45101769,4.814076653,0.156211468,0.316061072,0.232901527,0.16382263,0.037705692,0.011782077,0.01750567,-0.534175181,0.301921554,1.723789988,1.560490269,0.534175181,-0.042498014,-0.301921554
G481,TRUE_SAMPLE,481,06-Oct-15,1,1,1,B402_00481,3.5,4,3.75,332,325,B302_2880,24.56,3.75,Ct<30,MODERATE-ADVANCED,03-Apr,-0.33411896,-0.2403147,24,2.230378098,1.535461695,0.117699023,0.797417377,0.001571919,0.029164935,0.019668468,0.003819372,0.008898878,-0.742759799,1.952764915,-0.43850955,0.127802736,0,-0.301921554,-0.583848813
G471,TRUE_SAMPLE,471,06-Oct-15,1,1,1,B402_00471,3.5,4,3.75,349,332,B302_1582,36.55,3.75,Ct>35,MODERATE-ADVANCED,03-Apr,-0.068452902,0.079836588,24,6.115473981,3.999768832,0.151715435,0.175108447,0.014953861,0.090969319,0.430097011,0.037637038,0.018297973,-0.635007185,-0.43850955,0.042498014,1.140117653,2.387808898,0.534175181,-0.257736636
G484,TRUE_SAMPLE,484,06-Oct-15,1,1,1,B402_00484,3.5,3.5,3.5,371,344,B302_0809,30.86,3.5,30<Ct<35,MODERATE-ADVANCED,03-Apr,0.229730824,-0.039060034,23,4.836610631,2.808922146,0.560908411,0.183328656,0.009841894,0.042380017,0.036008981,0.020217046,0.044676771,1.140117653,-0.392193489,-0.085072957,0.68788465,0.485786363,0.170767252,0.583848813
G460,TRUE_SAMPLE,460,06-Oct-15,1,1,1,B402_00460,4,3.5,3.75,558,374,B302_2752,31.87,3.75,30<Ct<35,MODERATE-ADVANCED,03-Apr,0.355296576,0.083742736,18,3.327848184,1.831283938,0.73242457,0.066174708,0.003388425,0.011564701,0,0.000570137,0.049504694,1.952764915,-1.225627238,-0.301921554,-0.43850955,-1.225627238,-0.799968905,0.923143931
G465,TRUE_SAMPLE,465,06-Oct-15,1,1,1,B402_00465,4,3.5,3.75,386,340,B302_0834,35.74,3.75,Ct>35,MODERATE-ADVANCED,03-Apr,0.16098697,-0.041805849,9,3.783504471,2.958598306,0.498501795,0.234105675,0,0.180842753,0.021182544,0,0.021419883,0.799968905,-0.085072957,-1.321182026,1.952764915,0.085072957,-1.321182026,-0.170767252
G480,TRUE_SAMPLE,480,06-Oct-15,1,1,1,B402_00480,4,4,4,431,351,B302_1716,23.4,4,Ct<30,MODERATE-ADVANCED,03-Apr,0.219986336,0.086940906,22,8.142684802,5.161224316,0.364735459,0.063416288,0.086692466,0.073641988,0.005395328,0.029688427,0.195107483,0.170767252,-1.321182026,1.225627238,1.062220505,-0.534175181,0.392193489,1.952764915
G448,TRUE_SAMPLE,448,06-Oct-15,1,1,1,B402_00448,4,4,4,360,331,B302_1716,25.07,4,Ct<30,MODERATE-ADVANCED,03-Apr,0.05283298,-0.040476021,15,5.835750483,4.261274328,0.358138472,0.27401173,0.04383426,0.094790159,0.138967172,0,0.003122858,0.085072957,0.127802736,0.635007185,1.225627238,1.560490269,-1.321182026,-0.742759799
G500,TRUE_SAMPLE,500,06-Oct-15,1,1,1,B402_00500,4,4.5,4.25,365,328,B302_0853,32.71,4.25,30<Ct<35,MODERATE-ADVANCED,04-May,-0.136352322,0.316115922,11,2.545469703,1.721293055,0.089995763,0.092134197,0,0.000443826,0.029756501,0.018217031,0.002945389,-0.923143931,-0.859924779,-1.321182026,-0.923143931,0.392193489,0.085072957,-0.799968905
G458,TRUE_SAMPLE,458,06-Oct-15,1,1,1,B402_00458,4,4,4,342,338,NA,30.8,4,30<Ct<35,MODERATE-ADVANCED,03-Apr,-0.204101378,0.041721013,20,4.254160059,3.108847366,0.064624541,0.261193769,0.485384211,0.109294591,0.01186767,0.033817609,0.018764222,-1.062220505,0.042498014,2.387808898,1.321182026,-0.301921554,0.485786363,-0.214049476
G490,TRUE_SAMPLE,490,06-Oct-15,1,1,1,B402_00490,4,3.5,3.75,452,352,NA,37.07,3.75,Ct>35,MODERATE-ADVANCED,03-Apr,0.124374556,-0.049375375,21,5.363044405,3.322746838,0.461810577,0.283524132,0.027285978,0.02778722,0.026018471,0.059497952,0.012012514,0.583848813,0.170767252,0.257736636,0,0.257736636,0.799968905,-0.534175181
G488,TRUE_SAMPLE,488,06-Oct-15,1,1,1,B402_00488,3,3.5,3.25,682,400,J258_3935,37.18,3.25,Ct>35,LIGHT-MODERATE,03-Apr,-0.136055236,0.336125509,35,8.881148766,5.780626227,0.047704506,0.116846673,0.192204784,0.025826345,0.022220772,0.147649036,0.015254348,-1.140117653,-0.68788465,1.430608769,-0.085072957,0.127802736,1.430608769,-0.43850955
G450,TRUE_SAMPLE,450,06-Oct-15,1,1,1,B402_00450,2.5,2.5,2.5,513,352,J258_2569,33.53,2.5,30<Ct<35,LIGHT-MODERATE,02-Mar,-0.263399046,0.564486825,19,8.336923025,6.657692885,0.005684346,0.091419109,0.000519005,0.003633038,0,0,0,-1.723789988,-0.990286919,-0.68788465,-0.68788465,-1.225627238,-1.321182026,-1.430608769
G473,TRUE_SAMPLE,473,06-Oct-15,1,1,1,B402_00473,4,4,4,476,364,B302_0190,28.63,4,Ct<30,MODERATE-ADVANCED,03-Apr,0.134496141,-0.018536402,27,6.051605796,4.074354313,0.403091907,0.204212723,0.001484115,0.063090361,0.186333771,0.005789596,0.034660277,0.257736636,-0.301921554,-0.485786363,0.990286919,1.723789988,-0.214049476,0.301921554
G525,TRUE_SAMPLE,525,06-Oct-15,1,1,1,B402_00525,3.5,3.5,3.5,487,356,B302_3170,23.67,3.5,Ct<30,MODERATE-ADVANCED,03-Apr,0.217622643,-0.075195703,21,3.211751933,2.233408102,0.6214531,0.238277406,0.002008153,0.036769283,0,0.00655662,0.007028536,1.430608769,-0.042498014,-0.392193489,0.485786363,-1.225627238,-0.170767252,-0.635007185
G533,TRUE_SAMPLE,533,06-Oct-15,1,1,1,B402_00533,4,4,4,268,311,B302_2269,26.23,4,Ct<30,MODERATE-ADVANCED,03-Apr,-0.009428211,-0.221158547,13,3.482518618,2.660123713,0.363549974,0.487639815,0,0.008783758,0,0.00916901,0.047758472,0.127802736,0.923143931,-1.321182026,-0.534175181,-1.225627238,-0.085072957,0.799968905
G512,TRUE_SAMPLE,512,06-Oct-15,1,1,1,B402_00512,3,3,3,355,332,B302_2752,29.4,3,Ct<30,LIGHT-MODERATE,03-Apr,0.18029609,0.115396888,23,7.094129159,4.834691468,0.279821979,0.049901878,0.068247126,0.006009952,0.010407906,0.32690286,0.062149565,-0.042498014,-1.560490269,1.062220505,-0.583848813,-0.346704194,2.387808898,1.062220505
G515,TRUE_SAMPLE,515,06-Oct-15,1,1,1,B402_00515,4,4,4,391,333,B302_2752,29.55,4,Ct<30,MODERATE-ADVANCED,03-Apr,0.09376527,-0.119192247,12,3.846305385,2.831194399,0.460350959,0.367875303,0.006397687,0.001844528,0.007527668,0.06100236,0,0.534175181,0.534175181,-0.214049476,-0.742759799,-0.392193489,0.859924779,-1.430608769
